Date,Strategy_Equity
2022-04-18,9343.729773521423
2022-04-19,9496.410969734192
2022-04-20,9605.904492378235
2022-04-21,9457.941340446472
2022-04-22,9193.470538139343
2022-04-25,9215.845715522766
2022-04-26,8951.998711585999
2022-04-27,9110.85858631134
2022-04-28,9299.26965045929
2022-04-29,9062.268071174622
2022-05-02,9028.561964988708
2022-05-03,9075.42558002472
2022-05-04,9231.612462043762
2022-05-05,8910.100697517395
2022-05-06,8805.0024061203
2022-05-09,8604.489821434021
2022-05-10,8522.086882591248
2022-05-11,8467.508357048035
2022-05-12,8489.483931541443
2022-05-13,8518.19571018219
2022-05-16,8669.27142047882
2022-05-17,8819.856669425964
2022-05-18,8515.145869255066
2022-05-19,8603.232281684875
2022-05-20,8546.861369132996
2022-05-23,8672.876635551453
2022-05-24,8616.62202167511
2022-05-25,8816.262009620667
2022-05-26,9071.627568244934
2022-05-27,9383.196743965149
2022-05-31,9181.561299324036
2022-06-01,9281.208540916443
2022-06-02,9225.290532112122
2022-06-03,9265.931611061096
2022-06-06,9168.779431343079
2022-06-07,9331.229910850525
2022-06-08,9359.46726512909
2022-06-09,9186.966158866882
2022-06-10,8948.142357826233
2022-06-13,8477.611578941345
2022-06-14,8453.435101509094
2022-06-15,8456.802863121033
2022-06-16,8152.051630020142
2022-06-17,8105.341550827026
2022-06-21,8143.40159702301
2022-06-22,8103.6116762161255
2022-06-23,8052.240989685059
2022-06-24,8053.704986572266
2022-06-27,8055.532733917236
2022-06-28,7976.518030166626
2022-06-29,8020.343976974487
2022-06-30,7944.6878299713135
2022-07-01,8070.364839553833
2022-07-05,7999.085876464844
2022-07-06,8018.245138168335
2022-07-07,7999.6230754852295
2022-07-08,8017.178201675415
2022-07-11,8011.587266921997
2022-07-12,7969.52520942688
2022-07-13,7934.202344894409
2022-07-14,7915.847494125366
2022-07-15,8080.131574630737
2022-07-18,7988.456941604614
2022-07-19,8155.1189975738525
2022-07-20,8094.894697189331
2022-07-21,8107.44451713562
2022-07-22,8094.473787307739
2022-07-25,8131.6009883880615
2022-07-26,8126.089925765991
2022-07-27,8197.597410202026
2022-07-28,8296.830919265747
2022-07-29,8389.77036857605
2022-08-01,8481.094785690308
2022-08-02,8389.741302490234
2022-08-03,8319.007761001587
2022-08-04,8311.01707649231
2022-08-05,8303.980688095093
2022-08-08,8306.891843795776
2022-08-09,8242.7982006073
2022-08-10,8396.306917190552
2022-08-11,8374.325593948364
2022-08-12,8543.088483810425
2022-08-15,8612.009073257446
2022-08-16,8664.927827835083
2022-08-17,8608.131490707397
2022-08-18,8678.821371078491
2022-08-19,8615.29698753357
2022-08-22,8466.247095108032
2022-08-23,8425.2969455719
2022-08-24,8434.521272659302
2022-08-25,8536.162141799927
2022-08-26,8276.57815361023
2022-08-29,8179.026433944702
2022-08-30,8093.533464431763
2022-08-31,8004.678968429565
2022-09-01,7879.847318649292
2022-09-02,7807.402799606323
2022-09-06,7824.393133163452
2022-09-07,7971.216943740845
2022-09-08,8020.19472694397
2022-09-09,8080.28765296936
2022-09-12,8155.836957931519
2022-09-13,7912.822984695435
2022-09-14,7937.11981010437
2022-09-15,7935.15936088562
2022-09-16,7816.595533370972
2022-09-19,7882.816293716431
2022-09-20,7835.644567489624
2022-09-21,7619.343023300171
2022-09-22,7477.60263633728
2022-09-23,7354.997640609741
2022-09-26,7323.361989974976
2022-09-27,7295.207494735718
2022-09-28,7343.205923080444
2022-09-29,7317.830282211304
2022-09-30,7324.9913539886475
2022-10-03,7381.560064315796
2022-10-04,7462.651128768921
2022-10-05,7598.204641342163
2022-10-06,7526.043119430542
2022-10-07,7345.630659103394
2022-10-10,7339.390058517456
2022-10-11,7215.9706020355225
2022-10-12,7210.268575668335
2022-10-13,7271.524717330933
